What is OOPS?   OOPS is abbreviated as Object Oriented Programming system in which programs are considered as a collection of objects. Each object is nothing but an instance of a class.
Write basic concepts of OOPS?   Following are the concepts of OOPS:,Abstraction,Encapsulation,Inheritance,Polymorphism
What is a class?    A class is simply a representation of a type of object. It is the blueprint/plan/template that describes the details of an object.
What is an Object?  An object is an instance of a class. It has its own state, behavior, and identity.
What is Encapsulation?  Encapsulation is an attribute of an object, and it contains all data which is hidden. That hidden data can be restricted to the members of that class.Levels are Public, Protected, Private, Internal, and Protected Internal.
What is Polymorphism?   Polymorphism is nothing but assigning behavior or value in a subclass to something that was already declared in the main class. Simply, polymorphism takes more than one form.
What is Inheritance?    Inheritance is a concept where one class shares the structure and behavior defined in another class. If Inheritance applied to one class is called Single Inheritance, and if it depends on multiple classes, then it is called multiple Inheritance.
What are manipulators?  Manipulators are the functions which can be used in conjunction with the insertion (<<) and extraction (>>) operators on an object. Examples are endl and setw.
Explain the term constructor    A constructor is a method used to initialize the state of an object, and it gets invoked at the time of object creation. Rules for constructor are: Constructor Name should be the same as a class name.A constructor must have no return type.
Define Destructor?  A destructor is a method which is automatically called when the object is made of scope or destroyed. Destructor name is also same as class name but with the tilde symbol before the name.
What is an Inline function? An inline function is a technique used by the compilers and instructs to insert complete body of the function wherever that function is used in the program source code.
What is a virtual function? A virtual function is a member function of a class, and its functionality can be overridden in its derived class. This function can be implemented by using a keyword called virtual, and it can be given during function declaration.A virtual function can be declared using a token(virtual) in C++. It can be achieved in C/Python Language by using function pointers or pointers to function.
What is a friend function?  A friend function is a friend of a class that is allowed to access to Public, private, or protected data in that same class. If the function is defined outside the class cannot access such information.A friend can be declared anywhere in the class declaration, and it cannot be affected by access control keywords like private, public, or protected.
What is function overloading?   Function overloading is a regular function, but it can perform different tasks. It allows the creation of several methods with the same name which differ from each other by the type of input and output of the function.Example void add(int&amp; a, int&amp; b); void add(double&amp; a, double&amp; b); void add(int&amp; a, int&amp; b); void add(double&amp; a, double&amp; b); void add(struct bob&amp; a, struct bob&amp; b);
What is operator overloading?   Operator overloading is a function where different operators are applied and depends on the arguments. Operator,-,* can be used to pass through the function, and it has its own precedence to execute
What is an abstract class?  An abstract class is a class which cannot be instantiated. Creation of an object is not possible with an abstract class, but it can be inherited. An abstract class can contain only an Abstract method. Java allows only abstract method in abstract class while other languages allow non-abstract method as well.
What is a ternary operator? The ternary operator is said to be an operator which takes three arguments. Arguments and results are of different data types, and it depends on the function. The ternary operator is also called a conditional operator.
What is the use of finalize method? Finalize method helps to perform cleanup operations on the resources which are not currently used. Finalize method is protected, and it is accessible only through this class or by a derived class.
What are the different types of arguments?  A parameter is a variable used during the declaration of the function or subroutine, and arguments are passed to the function body, and it should match with the parameter defined. There are two types of Arguments.Call by Value – Value passed will get modified only inside the function, and it returns the same value whatever it is passed into the function.Call by Reference – Value passed will get modified in both inside and outside the functions and it returns the same or different value.
